product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Super Herramienta 1,Descripción detallada del producto 1,7,5,2,425.15,221.08,41.2,True,2022-08-02,2024-07-07
2,SKU-000002,Max Producto 2,Descripción detallada del producto 2,6,15,5,98.29,52.09,34.8,True,2023-12-17,2024-06-19
3,SKU-000003,Mega Producto 3,Descripción detallada del producto 3,9,9,2,298.06,169.89,2.6,True,2023-06-18,2024-08-26
4,SKU-000004,Pro Gadget 4,Descripción detallada del producto 4,8,12,5,286.47,114.59,34.2,True,2022-02-13,2025-09-08
5,SKU-000005,Elite Set 5,Descripción detallada del producto 5,8,13,1,463.08,296.37,9.2,True,2022-10-11,2024-09-24
6,SKU-000006,Premium Equipo 6,Descripción detallada del producto 6,2,5,2,189.64,77.75,38.5,True,2023-03-07,2025-06-08
7,SKU-000007,Pro Producto 7,Descripción detallada del producto 7,3,11,8,21.26,12.76,36.4,False,2023-01-04,2024-01-31
8,SKU-000008,Pro Herramienta 8,Descripción detallada del producto 8,5,7,1,351.35,196.76,3.1,True,2023-01-16,2024-12-20
9,SKU-000009,Ultra Widget 9,Descripción detallada del producto 9,10,6,2,88.43,37.14,49.6,True,2023-09-02,2025-06-04
10,SKU-000010,Básico Pack 10,Descripción detallada del producto 10,10,1,5,403.13,177.38,41.3,True,2023-02-11,2024-08-02
11,SKU-000011,Elite Producto 11,Descripción detallada del producto 11,3,3,4,192.64,127.14,41.5,True,2022-03-26,2025-11-24
12,SKU-000012,Básico Gadget 12,Descripción detallada del producto 12,9,5,5,315.88,208.48,50.0,True,2023-12-24,2025-08-14
13,SKU-000013,Super Pack 13,Descripción detallada del producto 13,2,7,2,156.7,72.08,36.2,True,2022-10-21,2025-06-21
14,SKU-000014,Básico Equipo 14,Descripción detallada del producto 14,6,5,5,226.87,122.51,24.3,True,2022-04-02,2024-03-12
15,SKU-000015,Elite Kit 15,Descripción detallada del producto 15,7,11,7,56.17,23.59,7.9,True,2023-01-26,2024-04-03
16,SKU-000016,Max Equipo 16,Descripción detallada del producto 16,8,12,6,431.44,258.86,4.0,True,2022-03-25,2025-04-16
17,SKU-000017,Smart Kit 17,Descripción detallada del producto 17,8,13,4,279.22,128.44,23.6,False,2023-05-27,2025-09-10
18,SKU-000018,Premium Artículo 18,Descripción detallada del producto 18,6,2,5,110.9,45.47,21.5,False,2022-05-04,2024-05-03
19,SKU-000019,Mini Pack 19,Descripción detallada del producto 19,3,6,4,266.45,181.19,37.9,True,2023-08-13,2025-10-03
20,SKU-000020,Elite Equipo 20,Descripción detallada del producto 20,8,5,5,163.74,85.14,34.2,True,2023-05-11,2025-08-12
21,SKU-000021,Ultra Herramienta 21,Descripción detallada del producto 21,2,7,6,466.52,209.93,15.5,True,2023-01-11,2024-08-23
22,SKU-000022,Mega Equipo 22,Descripción detallada del producto 22,8,14,2,180.62,75.86,39.6,True,2023-03-08,2025-05-29
23,SKU-000023,Mini Equipo 23,Descripción detallada del producto 23,8,2,4,109.37,57.97,34.1,True,2023-06-05,2025-02-15
24,SKU-000024,Smart Dispositivo 24,Descripción detallada del producto 24,9,9,4,313.69,128.61,29.9,True,2023-02-17,2025-03-10
25,SKU-000025,Premium Pack 25,Descripción detallada del producto 25,2,3,1,58.97,27.13,35.6,True,2023-11-18,2025-06-28
26,SKU-000026,Max Widget 26,Descripción detallada del producto 26,10,15,5,93.84,43.17,48.7,True,2022-11-24,2025-05-28
27,SKU-000027,Mega Kit 27,Descripción detallada del producto 27,2,9,7,169.87,110.42,18.4,True,2022-03-23,2025-07-28
28,SKU-000028,Elite Equipo 28,Descripción detallada del producto 28,10,5,6,401.9,204.97,11.7,True,2023-04-21,2024-04-01
29,SKU-000029,Elite Producto 29,Descripción detallada del producto 29,3,6,7,148.73,77.34,45.5,True,2023-03-04,2025-03-21
30,SKU-000030,Ultra Producto 30,Descripción detallada del producto 30,1,14,6,264.32,140.09,18.0,True,2022-03-26,2025-07-20
31,SKU-000031,Max Kit 31,Descripción detallada del producto 31,4,9,4,465.13,279.08,34.1,True,2022-10-01,2024-01-02
32,SKU-000032,Ultra Gadget 32,Descripción detallada del producto 32,3,5,3,482.23,265.23,11.3,True,2023-09-29,2024-06-23
33,SKU-000033,Básico Producto 33,Descripción detallada del producto 33,5,5,6,84.95,39.93,1.9,True,2023-11-22,2025-04-08
34,SKU-000034,Pro Gadget 34,Descripción detallada del producto 34,1,9,4,52.96,37.07,14.3,True,2022-02-11,2024-08-07
35,SKU-000035,Super Set 35,Descripción detallada del producto 35,9,6,4,487.48,321.74,39.1,True,2023-03-14,2025-04-15
36,SKU-000036,Premium Herramienta 36,Descripción detallada del producto 36,1,2,8,258.12,131.64,30.5,True,2022-05-23,2025-07-28
37,SKU-000037,Pro Widget 37,Descripción detallada del producto 37,1,6,8,18.93,8.71,35.4,True,2023-11-07,2025-06-01
38,SKU-000038,Básico Kit 38,Descripción detallada del producto 38,3,5,6,307.83,184.7,20.4,True,2023-05-03,2024-07-24
39,SKU-000039,Mini Producto 39,Descripción detallada del producto 39,5,12,4,14.98,10.34,35.9,True,2023-04-14,2024-03-26
40,SKU-000040,Ultra Artículo 40,Descripción detallada del producto 40,9,1,4,116.91,52.61,2.0,True,2022-02-10,2024-01-30
41,SKU-000041,Elite Herramienta 41,Descripción detallada del producto 41,4,13,3,132.03,85.82,34.7,True,2022-08-16,2025-11-10
42,SKU-000042,Elite Artículo 42,Descripción detallada del producto 42,5,11,2,278.92,131.09,9.0,True,2022-12-16,2025-08-21
43,SKU-000043,Elite Set 43,Descripción detallada del producto 43,3,11,5,112.62,75.46,0.5,True,2022-10-31,2025-03-11
44,SKU-000044,Smart Kit 44,Descripción detallada del producto 44,7,9,4,462.08,217.18,12.0,True,2022-07-13,2024-04-10
45,SKU-000045,Mini Pack 45,Descripción detallada del producto 45,7,6,5,153.43,87.46,27.1,True,2022-06-28,2025-11-30
46,SKU-000046,Elite Widget 46,Descripción detallada del producto 46,1,12,4,8.37,4.1,43.3,True,2023-04-14,2025-07-12
47,SKU-000047,Pro Producto 47,Descripción detallada del producto 47,6,5,4,147.59,75.27,27.1,False,2023-07-02,2025-11-23
48,SKU-000048,Elite Set 48,Descripción detallada del producto 48,2,15,1,454.26,195.33,45.5,False,2022-03-17,2024-04-23
49,SKU-000049,Básico Widget 49,Descripción detallada del producto 49,1,4,1,129.19,72.35,9.7,True,2022-12-16,2024-01-14
